date,symbol,return,open,high,low,close,usd_volume,base_volume,v_7d,v_14d,v_21d,v_28d,v_42d,momentum_14,volatility_14,momentum_21,volatility_21,momentum_28,volatility_28,momentum_42,volatility_42,momentum_90,volatility_90,return_sign_consistency_3d,long_candle_ratio_5d,strev_daily,strev_weekly,compound_weekly,extremely_positive_ratio,extremely_negative_ratio,ret_lead1
2020-02-12,XTZ,0.5744990393708311,2.92206517489134,3.74014474708536,2.90685277966575,3.37009122773911,73214265.4568562,22102036.0912473,1.463676740450282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.2,0.1426491965728979,0.5744990393708311,0.0,0.0,0.0,0.0546609081266953
2020-02-12,KCS,0.1426699054156286,1.3133634065662,1.32635734656313,1.28687175782319,1.31689659673249,8683997.66910592,6662000.18854776,0.1750342716852024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2,0.002686572648313,0.1426699054156286,0.0,0.0,0.0,-0.0639218538263711
2020-02-12,ETH,0.303276815304456,236.942605980075,274.208615450308,236.942605980075,265.705785795552,5760524527.51775,22518200.2700799,0.5883780974693664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.4,0.1145716852517309,0.303276815304456,0.0,0.0,0.0,-0.02576031848181
2020-02-12,CRO,0.101057275458769,0.0620379260850168,0.0643287167427764,0.0619459175129015,0.0636482244087122,4929128.26571917,77733344.4325953,-0.3453216505856868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.2,0.025625519368443,0.101057275458769,0.0,0.0,0.0,-0.0597904970159843
2020-02-12,QNT,-0.0393804268784495,4.8905328,4.9514304,4.8905328,4.9514304,22.6374623223665,4.57190357,-0.7418821172978154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.6,0.0123752499272606,-0.0393804268784495,0.0,0.0,0.0,-0.0219442446368629
2020-02-12,BDX,-0.2988091664164917,0.07007,0.07007,0.07007,0.07007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1676408559149333,-0.2988091664164917,0.0,0.0,0.0,0.4156985871271585
2020-02-12,BTC,0.0756015402159677,10237.308198372,10456.3907462412,10226.9504596733,10339.4685845639,6115361726.95384,592220.166167684,0.1149238349217789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.4,0.009929759814879,0.0756015402159677,0.0,0.0,0.0,-0.0711716254297287
2020-02-12,XRP,0.0967549153135722,0.281262800139246,0.308266903592983,0.281262800139246,0.30401318042507,1082174262.01445,3669598756.7291,0.530336421749805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.2,0.077781593038547,0.0967549153135722,0.0,0.0,0.0,-0.0955100743540543
2020-02-12,DCR,0.1087640707533821,21.759416709797,22.8028321795208,21.7537199332497,22.5875878093274,1642785.34239252,73620.654489,0.9051476187660724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.6,0.0385215423019572,0.1087640707533821,0.0,0.0,0.0,-0.1433873814731721
2020-02-12,BCH,0.0649902112762761,462.168232405611,481.074901338978,462.168232405611,473.863334043166,1139270161.31902,2409021.90424892,-0.02547911462905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0249899911128818,0.0649902112762761,0.0,0.0,0.0,-0.2001222039970294
2020-02-12,LPT,-0.1534660565690511,1.8315995283,2.015035722,1.52219676,1.7902953693,21535.6168476139,11921.68841161,0.883182858632825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,-0.022809027244369,-0.1534660565690511,0.0,0.0,0.0,-0.1274010744881616
2020-02-12,NEXO,0.407147453342624,0.196195693061159,0.228167112189866,0.19609329293481,0.225266625766717,607353.242863563,2866894.0,-0.4025865411967224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.4,0.1381721089373621,0.407147453342624,0.0,0.0,0.0,-0.1624314766304508
2020-02-12,ADA,0.1527979092820985,0.0635553286341739,0.0702028573007681,0.0635553286341739,0.0681441346869451,176553090.850308,2655616590.05694,0.3756645016272131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.2,0.0697142460878489,0.1527979092820985,0.0,0.0,0.0,-0.157239349934298
2020-02-12,THETA,0.140739431964731,0.125227733318586,0.137010009329405,0.125227733318586,0.135876134162853,2405814.99098063,18445968.5409795,-0.3300689596051782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.2,0.0816097462461604,0.140739431964731,0.0,0.0,0.0,-0.0690398421628822
2020-02-12,MIOTA,0.0258927467617822,0.331206627453599,0.352593337197699,0.328053923857235,0.333638156809343,25415745.7622631,75018770.5475234,0.4676172114703369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.2,0.0073146101302784,0.0258927467617822,0.0,0.0,0.0,-0.1992215140695372
2020-02-12,LINK,0.4101919126988638,4.00573517775938,4.20427526222378,3.86914091046766,3.99995049867609,243599445.446381,60432957.9311818,0.6644816346763527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.2,-0.0014451429456099,0.4101919126988638,0.0,0.0,0.0,0.0974681686575169
