date,compound_weekly,extremely_positive_ratio,extremely_negative_ratio
2025-09-03,0.5378403529411765,0.12705882352941175,0.07294117647058823
2025-09-10,0.5988894117647059,0.14588235294117646,0.05764705882352941
2025-09-17,0.5888517647058824,0.16,0.05411764705882353
2025-09-24,0.5709806146572104,0.17966903073286053,0.06501182033096926
2025-10-01,0.5614754448398577,0.10199004975124377,0.08582089552238806
2025-10-08,0.6284897647058824,0.135,0.0425
2025-10-15,0.13256915789473686,0.04,0.21222222222222223
2025-10-22,0.29517673684210527,0.037894736842105266,0.07368421052631578
2025-10-29,0.34807894736842104,0.07052631578947369,0.09789473684210526
2025-11-05,0.4048974117647059,0.11375,0.15625
2025-11-12,0.4208557647058823,0.09058823529411765,0.08
2025-11-19,0.38177633333333333,0.05444444444444444,0.07666666666666666
2025-11-26,0.2971728421052631,0.04555555555555556,0.12222222222222222
2025-12-03,0.3996451111111111,0.056666666666666664,0.0811111111111111
2025-12-10,0.4501369411764706,0.0811764705882353,0.1
2025-12-17,0.4014284348864994,0.08721624850657109,0.12783751493428913
2025-12-24,0.43831235294117654,0.08241082410824108,0.11685116851168512
2025-12-31,0.395715625,0.08933333333333333,0.12
2026-01-07,0.5362769333333334,0.10133333333333333,0.08266666666666667
2026-01-14,0.508954125,0.1325,0.1075
2026-01-21,0.4483624511082138,0.1121251629726206,0.13820078226857888
2026-01-28,0.4531522699386503,0.12269938650306748,0.1325153374233129
2026-02-04,0.4584165012406948,0.05555555555555555,0.1111111111111111
